GUID;complete;media_language;srt_language;last_changed_on_amara;revision;url;touched;amara_key;amara_language
23e85d7a-9645-4ae2-9954-63b71abc08d4;True;deu;de;2020-01-04T12:27:57Z;10;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10018-deu-eng-Verhalten_bei_Hausdurchsuchungen.de.srt;2020-01-04T12:47:06Z;Y9Ci7xQ2ByYf;de
ef9c53e5-b01b-431a-b141-9218f79b6c5a;True;eng;en;2020-01-04T12:29:37Z;4;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9414-eng-deu-eng-Sense_without_sight_a_crash_course_on_BlindNavigation.en.srt;2020-01-04T12:41:05Z;Ry1gsthuhGq4;en
76417167-e13b-43cd-a089-841ff78266e8;True;eng;en;2020-01-04T12:35:33Z;4;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9419-eng-deu-fra-Explaining_Online_US_Political_Advertising.en.srt;2020-01-04T12:57:08Z;amXaMAOcI1cJ;en
8cbe8908-4040-402f-93b5-5a4a64cf6f09;False;eng;en;2020-01-04T12:37:26Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9762-eng-deu-fra-The_Urban_Organism.en.srt;2020-01-04T12:44:01Z;TPgRFWmOJTvH;en
e8385c89-d33a-42d8-afb6-8ae28fe5c89d;False;eng;en;2020-01-04T12:39:27Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9614-eng-deu-fra-Inside_the_AMD_Microcode_ROM.en.srt;2020-01-04T12:42:38Z;ZzgYP3uvLNDz;en
1a28630d-985e-409b-be4a-b6679ecc83c3;True;deu;de;2020-01-04T12:41:44Z;8;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10015-deu-eng-fra-Polizeigesetze.de.srt;2020-01-04T13:14:04Z;VYSVba0TsiQP;de
dbd61e6a-dbde-4dcd-9b2e-73ba7ad62861;True;deu;de;2020-01-04T12:42:41Z;8;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9778-deu-eng-Open_Source_Firmware.de.srt;2020-01-04T13:14:05Z;iFpUrOBxcWxo;de
bf5019dc-499d-4c06-9ad0-35adbe01e7f3;False;eng;en;2020-01-04T12:45:00Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9792-eng-deu-fra-Quantum_Mechanics.en.srt;2020-01-04T13:06:04Z;JzPoUKUT6x4x;en
71bdcf60-c567-4cf6-94f4-5681b1d008b4;True;deu;de;2020-01-04T12:46:04Z;10;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9992-deu-eng-fra-All_Your_Gesundheitsakten_Are_Belong_To_Us.de.srt;2020-01-04T13:02:06Z;HiBZeOlhXUpO;de
a9c0c28c-4f40-4d06-99da-d73fbb2655c4;True;deu;de;2020-01-04T12:49:35Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9358-deu-eng-fra-Chaos_im_Fernsehrat.de.srt;2020-01-04T13:07:05Z;HNI1u43OLmbv;de
